OBJECTID,Shape,ID_UNE,NOMBRE_SITIO,COD_COMUNA,COMUNA,BARRIO,DIRECCION,X_MAGNAMED,Y_MAGNAMED,LATITUD,LONGITUD
75,"(836217.0584000001, 1186316.7907)",WIFIMDE0302,Parque la Piñuela,04,04,1,CL 86 - CR 49,836217.0584,1186316.7907,6.27893066,-75.55731201
76,"(836142.7590000001, 1185452.6202000002)",WIFIMDE0104,Parque Principal Campo Valdés (El Calvario),04,04,1,CL 78 - CR 48 A,836142.759,1185452.6202,6.27111816,-75.5579834
77,"(836129.2053, 1188727.0125)",WIFIMDE0217,Estación Metro Acevedo (interior),05,05,1,CR 63 # 103 G - 86,836129.2053,1188727.0125,6.30072022,-75.55810547
78,"(836095.453, 1186802.8845000002)",ACP-2076500,Inspección Aranjuez 4A,04,04,1,CL 92 # 50 - 53,836095.453,1186802.8845,6.2833252,-75.55841064
79,"(836095.4169, 1189719.4568000003)",WIFIMDE0326,Placa polideportiva La Playita,05,05,1,CL 114 # 63 -59,836095.4169,1189719.4568,6.30969238,-75.55841064
80,"(836054.9399000002, 1185121.8042000001)",WIFIMDE0160,Hospital Infantil Concejo de Medellín,04,04,1,CL 72 A # 48A - 20,836054.9399,1185121.8042,6.26812744,-75.55877686
81,"(836021.1828000001, 1183190.9250000003)",WIFIMDE0165,Inspección 10B,10,10,1,CL 56 # 41 - 06,836021.1828,1183190.925,6.25067139,-75.55908203
82,"(835940.1158000001, 1182839.8552)",WIFIMDE0239,La Playa (Teatro Pablo Tobón),10,10,1,CL 52 (Av La Playa) - CR 40,835940.1158,1182839.8552,6.24749756,-75.55981445
83,"(835899.5349000002, 1187903.3484)",WIFIMDE0083,UPSS Santa Cruz,02,02,1,CR 51 A # 100 - 80 ,835899.5349,1187903.3484,6.29327393,-75.56018066
84,"(835872.5663, 1181692.1294)",WIFIMDE0319,Parque el Salvador,09,09,1,CL 40 - CR 35,835872.5663,1181692.1294,6.23712158,-75.5604248
85,"(835764.4762000003, 1180672.6785)",WIFIMDE0288,Cancha la Esmeralda (Loreto),09,09,1,CL 30 - CR 32 A,835764.4762,1180672.6785,6.22790527,-75.56140137
86,"(835744.1509, 1189699.1996)",WIFIMDE0320,Parque las Brisas,05,05,1,CR 64 CC - CL 115,835744.1509,1189699.1996,6.30950928,-75.56158447
87,"(835744.1956000001, 1182617.0599)",WIFIMDE0221,Estación Tranvía Pabellón del Agua EPM (exterior),10,10,1,CL 49 - CR 41,835744.1956,1182617.0599,6.2454834,-75.56158447
88,"(835710.421, 1181712.3821999999)",WIFIMDE0174,Inspección 9B,09,09,1,CR 36 A # 39 - 26,835710.421,1181712.3822,6.23730469,-75.56188965
89,"(835696.8993000002, 1183460.9752000002)",WIFIMDE0172,Por mis derechos - Por una Vida Más Digna (Oficina La Candelaria),10,10,1,CL 57 # 45 - 129,835696.8993,1183460.9752,6.25311279,-75.56201172
90,"(835696.9015000002, 1183062.6471000002)",WIFIMDE0065,Parque del Periodista,10,10,1,CR 43 - CL 53 ,835696.9015,1183062.6471,6.24951172,-75.56201172
91,"(835696.8916000001, 1184878.7533)",WIFIMDE0192,Ampliación Museo Cementerio San Pedro,04,04,1,CR 51 #  68 - 68  (San Pedro),835696.8916,1184878.7533,6.26593017,-75.56201172
92,"(835676.6174000001, 1186269.5262000002)",WIFIMDE0163,Museo Pedro Nel Gómez,04,04,1,CR 51 B # 85 - 24,835676.6174,1186269.5262,6.27850342,-75.56219482
93,"(835676.639, 1182063.4508)",WIFIMDE0196,Parque Cerro El Cristo Salvador,09,09,1,CR 39 - CL 40 C,835676.639,1182063.4508,6.24047851,-75.56219482
94,"(835656.3432, 1187862.8388)",WIFIMDE0297,Barrio Sinaí,02,02,1,CR 54 # 99 - 05,835656.3432,1187862.8388,6.29290772,-75.56237793
